3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
there's a bird.,it's not gonna hurt ya.,we're going to play with the blocks.,yeah you're right.,there's cheese on there.,hey.,we're gonna play with this.,you're in the car now.,where's the car.,you're not supposed to eat them.,that's right.,let's go outside.,this is the bird that made the nest.,this is a snake.,there.,what bird is that.,there's a little green guy.,the oysters are very good.,and he's wearing a green vest.,oh wow.,I'll take out the butter.,you're going to have a puppy in a little bit.,did you say it's a donkey.,do you wanna see some.,you know it's a little bit cold out there.,you know.,the kitten is sleeping.,you could put some milk on the cat.
look at the dog.,do you know what a rabbit is.,you want to go get the dog.,what bird is that.,oh you're right.,where's the couch.,oh that's the car.,cat.,the house is yellow.,and the rabbit.,oh.,you need some more.,what are they doing.,here's a picture book.,look at the cars.,it's your bedroom.,they're just in case.,a bird.,you could sit on the couch with the cat.,I think I'll get some more.,oh yeah.,and then she goes.,that's a duck.,that's a good question.,oh there's the cat.,he's not.,we're going to get out the toys now.,what kind of birds.
you know how the dog likes to go outside.,go get it.,look at this.,there's a bird.,a car.,you know what we're gonna do.,car.,oh yes.,and then we're going to build a house.,wanna go down to the zoo.,no.,you want some food.,I think it's a chicken.,they're not going to sleep until they get back to their house.,he's holding his toys up there.,hey hey you.,and then you're done with the house.,what's that.,and the cat has a tail.,do you have the box.,yeah.,oh okay.,and we're going to go outside and we're going to see if we can find some birds.,so.,it's called the cat.,oh there's a baby hippo.,yeah.,you need a cushion to sit on.
dog.,oh look at the elephant.,we're gonna go find the dog.,the bird.,there's a car in the backyard.,wanna go back in.,you wanna go to the car.,what's that.,I'm going to go put the blanket up so it's nice and comfy for you to sleep in.,right.,okay.,and you eat the carrots.,that's a giraffe.,what kind of animals are there in the book.,so you're going to take the toys.,the house that Jack built.,okay.,that's a hawk.,no we don't have cats.,that's right.,oh it's not.,and the grandparents were at the table.,and you can see the little birds flying over the city.,yes.,she's in there.,they're not in the book.,I'm going to play with the toy trucks.,he's a blue bird.
who's that.,and you have a big brown cow.,there's a dog.,look at the bird.,okay.,this is a car.,here we go.,okay.,what's this.,they go to the pond to eat the little fish.,it's not a cat.,there's nothing wrong with it.,you want to draw a cat.,that's a bunny.,oh let's go find them.,and you can't use it to put things in.,they're cleaning them.,oh you're just a baby bird.,there's a cat in there.,no.,there's a light switch right here.,who's that.,I see.,you get a new room.,oh.,and she's like that.,oh.,what's that.
the dog is in the car.,oh my goodness.,come here baby.,look at the bird.,okay.,you see that.,the car is driving by.,see the cat.,do you know what a house is.,that's a lion.,yeah.,it's a little bit salty.,and then he fell down and landed on the couch.,they're called seals.,you can't have all those things.,the little girls and the big boys.,wow.,oh.,right now you're just watching.,what's that.,you gotta go get the other one.,did you hear the baby.,you have a bird.,and then there's a daddy and a mama and they make babies.,you have a cat.,oh that's the giraffe.,he can't get a toy.,oh look at that bird.
go ahead.,a big black and white bear.,huh.,yeah.,see the car.,you know what he does.,and the wheels on the car go around.,she's not in the house.,you can put a pillow on it.,there's one.,see that cat.,okay let's see what we have.,yeah.,and then they're up high on the trees.,you see the doll in there.,you'll have to put it in a box.,no.,it's a bird.,you know what that is.,you're a good boy.,okay.,okay.,where's the bird.,that's right.,we'll have to wait for another day.,that's a kitty cat.,oh.,you've got a bird on your hand.
yeah.,oh.,dog.,oh what a big bird.,and a little car.,and then we'll take a walk outside.,what does a car do.,wanna have a cat.,what do you think it is.,yes.,what's this.,well if you want to make it into a mash you could add water to it and mix it up.,and a little duck.,okay now.,can you see.,I'm sorry I'm busy right now.,well the house is going to be built and we're going to move in there.,oh that's right. that's a bird.,come over here.,we can't have peanut butter and jelly.,you gotta take the garbage out.,oh.,you wanna see some birds.,you know what that is.,it's a cat.,did you know you can't eat a bunny.,I'm thinking about playing with the trucks.,that's a hawk.
bark bark.,look at that.,and he's a big brown dog.,a bird.,oh yeah.,oh the couch.,do you know what a car is.,oh that's the cat.,yeah.,what do you call that?,that's right.,it's a fruit.,we'll be back in a minute.,this one has a big head.,right.,I'm not sure.,oh that's nice.,this bird has a long tail.,there's a cat on the wall.,hey hey.,"and here's a little kitchen, see.",you're gonna be Mommy's baby.,here's a baby bird.,and then the mommy's mommy's and Daddy's.,well.,she's gonna give them a kiss.,oh you're gonna get the one for Daddy.,you can put them in the bird feeder.
oh you're a good boy.,you know the animal that lives in the mountains.,uhhuh.,yeah.,that's a car.,and we'll have a big cake.,wow.,come here.,we'll have a lot of fun.,you know where a kitty goes when it's hungry.,and I think you wanna pet that cat.,you don't wanna eat.,oh my gosh.,they're both the same.,hey it's not mine.,that's a nice house.,where is the car.,that's a turkey.,and they're called cats.,that's not a cookie.,what's that called.,well you know what you don't want to be that kind of person.,you're so smart.,oh.,she's wearing some nice shoes.,and a big fish.,and they're all in there.,oh yeah.
oh look at the dog.,the chickens are laying eggs.,okay.,oh I see a bird.,oh.,yeah.,yeah.,yeah.,the dog and the cat and the horse.,what's that one called.,see the cat.,and we're gonna have some tacos.,you want to get them out of the way.,that's a big bird.,I'm getting out the baby doll.,it's not a good idea to go up there.,I think it's in the living room.,he's a hummingbird.,look at this cute little cat.,okay.,what are the numbers on this house.,right.,you need to put on your shoes.,we're going to be having fun.,that's a cat.,wanna see the horse.,I see.,a little bit of birdseed.
dog.,oh I can't see the monkey.,doggy.,little bird.,car.,we're going to the library.,do you want me to drive.,oh there's a cat.,we can't go in there.,they're cats.,come on honey.,oh.,I'm sorry.,we're going to do a book.,what are these.,what's this?,you know the other thing that's a house.,what do you see.,yeah.,oh.,oh.,that's a funny family.,oh birdie.,do you think mommy's gonna go back to work.,and now the cat is sleeping on her.,you're going to be a giraffe.,you see this ball and this ball and this ball.,oh there's a bird there.
here's a little dog.,we have two.,wow.,a bird.,wow.,oh that's the bedroom.,go to the garage.,that's what it is.,you get up.,that's a wooly bear.,you know what the cat's name is.,it's not a real taco.,you could have the giraffe and the monkey.,and that's a goose.,right.,oh it's a house that looks like a giant.,oh yeah.,you can't see them in there.,it's a big cat.,oh I'm sorry.,it's a pretty nice house isn't it.,I'll make a drawing for you.,yeah.,it's okay.,well we're going to draw a cat.,oh look.,he's playing with the blocks.,this is a birdie.
oh.,a rabbit.,and it has four legs.,there's a bird.,I think that's a car.,yes.,you have a car.,oh we'll get you another one.,and where's your toy.,yes you can eat it.,okay now we're gonna put a hat on.,you want some.,there's a dog in the backyard.,hey buddy.,you can't put it back together.,where's the toilet.,I'll take you to the library.,uhhuh.,this is a kitty.,that's what you eat.,well let's go upstairs and clean up and put all the clothes in the drawers.,what's the name of your aunt.,a sparrow.,they went to the hospital.,I think so.,you know what you know about animals.,and we're gonna build a rocket ship and we're gonna fly off.,this is a bird.
dog.,no.,you're not gonna eat that.,this is a bird.,it's a car.,what's the other one called.,see that.,oh the cats.,oh yeah that's right.,and it's called a pig.,we're going to the cat.,how about some of those.,we'll go to the farm and see the cows.,see the duckling.,he's.,there.,you can put the picture in the frame.,what kind of bird.,they're cat.,where's the peas.,you have a house.,right.,hey.,no.,no that's a kitty.,that's a cat.,so they're in the car.,it's a hawk.
it's a little dog.,wow.,it's a bunny.,we gotta get that.,what's in that truck.,hey.,that's right.,see the cat.,we're going to be right back.,what's that.,there's a cat.,that's a pizza.,we could go get a book about it.,the rabbit.,we're going to play with the puzzles.,that's right.,the bed and the pillow and the blanket and the comforter and the sheets and the pillowcase.,it's a little birdie.,we're gonna go find a cat.,no butter.,yeah.,oh I'm not gonna tell him.,that's a robin.,I'm a Dad.,what's that.,nope.,and he's a very good boy.,do you know that.
oink.,right here.,yeah.,no bird.,the car's moving.,oh okay.,okay.,where did she go.,oh that's the stove.,look at the bunny rabbit.,and a cat in the chair.,the peas are pretty.,this is a pig.,that's the big one.,we'll have some more blocks for you when you're done with this one.,I'm thinking about it.,there's a hole in the floor.,oh yeah.,oh.,you know what it is.,okay now put this right back in.,oh.,you're gonna see the birds.,my little brother.,it's just the cat.,I'll see if I can find any that's not in here.,what's that.,that's a seagull.
you have a dog.,look at the kitty.,yeah you can play with that.,there's a birdie on the tree.,you know what it is.,oh that's a good idea.,yes.,you've got a kitten.,oh.,do you see.,do you want to draw a cat.,no.,hey look at this dog.,yeah.,okay.,you're gonna get the water.,"they're like, a house that looks like a car.",we're going to see the birds.,he's sleeping.,that's good.,okay.,what does he like to do.,the bird is flying.,what's that.,and the cat.,what are you thinking.,I'll put them all back.,oh that's a bird.
